,CGNDB ID,place_name,ISO Language Code,language,Syllabic Form,term,category,Concise Code,Toponymic Feature ID,lat,long,Location,province,relevance,Decision Date,Source,Unnamed: 0.1,Unnamed: 0,description,etymology,merge_type,source
1024,ESBMI,Cacouna,mis,Uncoded languages,,Municipality,Populated Place,VILG,5a0c1555be4d11d892e2080020a0f4c9,47.916394,-69.499666,Cacouna; Rivière-du-Loup,Quebec,1000000,5/4/2006,Quebec-Commission de Toponymie,174.0,174.0,"Cacouna: a favourite summer resort, south bank of
    St. Lawrence River, Temiscouata county, Quebec. [48] It is derived from two Algonquin Indian words which
    mean “the abode of the porcupine”, rather a misnomer for
    the watering-place of to-day.",Indigenous,exact,Canadian Geographic Names Database
1031,FAYKX,Caledon,und,Undetermined,,Town,Populated Place,TOWN,fa088f11d05211d892e2080020a0f4c9,43.86605,-79.85901,Peel,Ontario,1000000,1/1/1974,Ontario-Ministry of Natural Resources and Forestry,176.0,176.0,"Caledon: township, Peel county, Ontario, erected in
    1819, and Caledonia township, Prescott county, Ontario,
    erected in 1810, called after the name given by the
    Romans to the northern part of Scotland. Caledonia is
    now the poetical name for all Scotland. The origin of the
    term Caledonia is uncertain. It is probably derived from
    the Latin verb celo, celare, to conceal. The Caledonians
    were those who concealed themselves in woody shelters.",Scottish,exact,Armstrong (1930)
1034,FANUD,Caledon,und,Undetermined,,Urban Community,Populated Place,UNP,5a0e6de9c6cd11d892e2080020a0f4c9,43.0711111,-79.9536111,Haldimand,Ontario,1000000,4/1/1974,Ontario-Ministry of Natural Resources and Forestry,,,,Scottish,fuzzy,Armstrong (1930)
1040,FANXK,Cambridge,und,Undetermined,,City,Populated Place,CITY,f91ca85cd05211d892e2080020a0f4c9,43.397222,-80.311389,Waterloo,Ontario,1000000,1/1/1973,Ontario-Ministry of Natural Resources and Forestry,180.0,180.0,"Cambridge: township, Russell county, Ontario, erected
    in 1798. It was named in honour of Prince Adolphus, Duke of
    Cambridge, son of King George III. The title is taken
    from the town of Cambridge, Cambridgeshire, England.
    This town is celebrated for its ancient University. In James I.’s reign a rich hackney man by the name
    of Hobson presented his town of Cambridge with a fountain
    of water, still flowing. His habit of letting out his
    horses in rotation gave rise to the expression, “Hobson’s
    choice,” this or none.",English,exact,Armstrong (1930)
1042,FANXP,Camden East,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c33376d849c20c36ebcf164f55225e1,44.335,-76.8319444,Lennox and Addington,Ontario,1000000,9/7/1950,Ontario-Ministry of Natural Resources and Forestry,181.0,181.0,"Camden East: township, constituted in 1787, in Addington
    county, Ontario. It was named in honour of Charles Pratt, Earl Camden,
    1714-’94, of Devonshire, England. He won distinction
    in his profession of law and became Attorney-General
    under Lord Chatham. In Parliament Camden strongly
    opposed the taxation of the English colonies in America. Camden East is also the name of a picturesque village
    in this township. Here the distinguished litterateur, Sir
    Gilbert Parker, was born. One of his poems commemorates
    the old home— [50]",English,exact,Armstrong (1930)
1044,FAOCK,Campbell,und,Undetermined,,Community,Populated Place,UNP,3adb1b1cc6ce11d892e2080020a0f4c9,44.30868,-77.79486,Northumberland,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1050,FAOMO,Cannington,und,Undetermined,,Suburban Community,Populated Place,UNP,0c3384ae849c20c39ebc842cf6fb52f1,44.3494444,-79.0408333,Durham,Ontario,1000000,1/8/1929,Ontario-Ministry of Natural Resources and Forestry,190.0,190.0,"Cannington: incorporated (1878), village in Ontario
    county, Ontario. The first settlers located here in 1820. Among them
    was the McCaskill family and the place was known by the[53] name of McCaskill’s Mills until 1834 when it received its
    present name. Cannington was named in honour of the Honourable
    George Canning, statesman and orator, born in London,
    England, in 1770 and died there in 1827. He was educated
    at Eton and Oxford and entered parliament in 1794. Mr.
    Canning was twice secretary of foreign affairs and also
    served as prime minister. When he came into power
    opposition to Napoleon seemed almost hopeless. By the
    vigour and breadth of his mind he gave new colour to
    the war and soon turned the tide against the French
    despot. Canning was intensely British and a devoted adherent
    of Pitt. When he died he was buried near Pitt’s tomb in
    Westminster Abbey.",English,exact,Armstrong (1930)
1062,EFTNM,Champlain,und,Undetermined,,Municipality,Populated Place,VILG,fedae0f5bbed11d892e2080020a0f4c9,48.101783,-65.679243,Caplan; Bonaventure,Quebec,1000000,12/5/1968,Quebec-Commission de Toponymie,,,,French,fuzzy,Armstrong (1930)
1063,FAOQX,Capreol,und,Undetermined,,Community,Populated Place,UNP,5e6bdfc0c6ce11d892e2080020a0f4c9,46.7044445,-80.9188889,Sudbury,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,193.0,193.0,"Capreol: township and enterprising town in Sudbury
    district, Ontario. The town was incorporated in 1918. It
    is the centre of a rich mineral area. Transportation facilities
    are well provided by the Canadian National Railway. The town site was laid out in 1913 by C. T. Young, of
    Toronto. Its name was suggested by Sir William
    MacKenzie and Sir Donald Mann, builders of the[54] Canadian Northern Railway, now incorporated in the
    Canadian National system, in honour of Frederick Chase
    Capreol, Civil Engineer. He projected the Canadian
    Northern Railway and the Huron and Ontario Ship Canal.
    Mr. Capreol was a man of much public spirit.",English,exact,Armstrong (1930)
1067,FAOSK,Cardiff,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c33a06c849c20c3f3a0c2c227afcd29,44.99943,-78.01372,Haliburton,Ontario,1000000,12/5/1957,Ontario-Ministry of Natural Resources and Forestry,196.0,196.0,"Cardiff: township in Haliburton district, Ontario,
    organized in 1862. It was named after the town of Cardiff in Glamorganshire,
    Wales. The town was once surrounded by a wall,
    the remains of which may still be seen. In the Castle of
    Cardiff King Henry I. imprisoned his brother Robert,
    Duke of Normandy, from 1106 till his death in 1132.",Welsh,exact,Armstrong (1930)
1092,FDKBT,Cayuga,cay,Cayuga,,Urban Community,Populated Place,UNP,754ee718c6cd11d892e2080020a0f4c9,42.95073,-79.85623,Haldimand,Ontario,1000000,4/1/1974,Ontario-Ministry of Natural Resources and Forestry,215.0,215.0,"Cayuga: the county-town of Haldimand county, Ontario. It is of Indian origin, gwa ugwck, meaning “where
    they take the boats out”, the portage or carrying-place.
    The Cayuga Indians were granted lands adjacent to the
    Grand River by Governor Haldimand. Cayuga is also
    the name of a township in Haldimand county, erected in
    1835.",Indigenous,exact,Canadian Geographic Names Database
1105,EJNEC,Chambly,und,Undetermined,,Town,Populated Place,CITY,579ca177bf9311d892e2080020a0f4c9,45.449074,-73.291694,Chambly; La Vallée-du-Richelieu,Quebec,1000000,12/13/1980,Quebec-Commission de Toponymie,217.0,217.0,"Chambly: county in Quebec, and two picturesque and
    pleasant villages (Chambly Basin and Chambly Canton)
    about one mile apart and fifteen or sixteen miles from
    Montreal. They are named after Captain Jacques de Chambly,
    an officer in the famous Carignan Regiment, who constructed
    a fort here (Chambly Canton) in 1665, the remains
    of which form one of Canada’s historic piles. In
    1672 Intendant Bagot conferred a seigniory in this district
    on Captain Chambly which he named after himself.
    The surname Chambly is evidently derived from the
    French phrase champ de blé, “the field of grain”.",French,exact,Armstrong (1930)
1108,EKMVK,Champlain,und,Undetermined,,Municipality,Populated Place,VILG,8fcd859fd1e011d892e2080020a0f4c9,46.437113,-72.354372,Champlain; Les Chenaux,Quebec,1000000,1/9/1986,Quebec-Commission de Toponymie,218.0,218.0,"Champlain: county in Quebec and also a lake discovered
    by Champlain in 1609. Samuel de Champlain (1567-1635) was already an
    eminent French navigator when he was commissioned
    in 1603 by Henry IV. of France to make settlements in[61] North America. He founded Quebec in 1608 and devoted
    the rest of his life to the welfare of New France or
    Canada. Not only did he strive to plant a permanent
    colony here for his king and country but he longed to
    spread the Gospel of Jesus among the aborigines. To this
    end he secured the coming of the first missionaries, the
    Recollets, to the Indians in Canada. The story of his life
    is one of the purest in all history. Champlain was a man.
    His name is still an inspiration perpetuated in the Champlain
    Society of Canada.",French,exact,Armstrong (1930)
1117,FAQBO,Charleston,und,Undetermined,,Community,Populated Place,UNP,60ae07c5c6ce11d892e2080020a0f4c9,47.81012,-80.00467,Timiskaming,Ontario,1000000,1/1/2003,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1136,HAUSK,Chitek Lake,cre,Cree,,Resort Village,Populated Place,VILG,581eaca9c6cd11d892e2080020a0f4c9,53.753641,-107.738155,16-55-12-W3,Saskatchewan,1000000,5/29/1985,"Saskatchewan-Ministry of Parks, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
1146,EFWKS,Chateauguay,und,Undetermined,,Town,Populated Place,CITY,74bf94ddbbef11d892e2080020a0f4c9,45.360927,-73.75018,Châteauguay; Roussillon,Quebec,1000000,12/5/1968,Quebec-Commission de Toponymie,222.0,222.0,"Chateauguay: county, river, and lake in Quebec. In 1673 Charles Le Moyne de Longueuil received the
    grant of a seigniory in New France from the French
    Government. He named it Chateauguay after a commune
    of this name in France. On October 26th, 1813, the
    Canadian militia 1,000 strong, under Col. de Salaberry,
    defeated an American army, 7,000 strong, under General
    Hampton, on the bank of the Chateauguay River.",French,exact,Armstrong (1930)
1159,FARQP,Clinton,und,Undetermined,,Community,Populated Place,UNP,3b03d8cfc6ce11d892e2080020a0f4c9,43.6166667,-81.5397222,Huron,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,243.0,243.0,"Clinton: township in Lincoln county, Ontario, formed
    in 1792. The name was derived from Glimpton in Oxford, England.
    This manor was conferred by William the Conqueror
    on one of his followers. Several members of the
    Clinton family rose to high rank in the army. This township
    was probably named after Sir Henry Clinton. He
    was commander, for several years, of the British forces in
    the war of independence with the United States of
    America. History awarded him both high praise and
    bitter criticism for his part therein. [68] Clinton is also the name of a town in Huron county,
    Ontario. Tradition says the name was suggested by Mr.
    William Rattenbury, one of the earliest settlers, who
    came about 1880 from the estate of the Earl of Clinton in
    Devonshire, England, in honour of this nobleman.",English,exact,Armstrong (1930)
1168,FEDAY,Cobalt,und,Undetermined,,Town,Populated Place,TOWN,1823a903d05411d892e2080020a0f4c9,47.3991667,-79.6805556,Timiskaming,Ontario,1000000,11/4/1948,Ontario-Ministry of Natural Resources and Forestry,245.0,245.0,"Cobalt: town in Temiskaming district, Ontario. It took its name from the metal, cobalt, found in
    abundance in this locality in conjunction with other valuable
    metals.",English,exact,Armstrong (1930)
1171,FARXD,Coboconk,mis,Uncoded languages,,Dispersed Rural Community,Populated Place,UNP,5b6b17dbc6cd11d892e2080020a0f4c9,44.6582,-78.79856,Victoria,Ontario,1000000,1/1/1981,Ontario-Ministry of Natural Resources and Forestry,247.0,247.0,"Coboconk: village in Victoria county, Ontario. The word is a corruption of the Indian term kakapikang,
    meaning “high fall”, according to Dr. G. M.
    Grant. Others translate it by “swift water”, which
    obtained there before the mill-dam was erected for industrial
    purposes. There is a fall, too, on the stream.",Indigenous,exact,Canadian Geographic Names Database
1179,FASBL,Colborne,und,Undetermined,,Community,Populated Place,UNP,5b7502ecc6cd11d892e2080020a0f4c9,44.0058333,-77.8880556,Northumberland,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,252.0,252.0,"Colborne: township in Huron county, Ontario, erected
    in 1830. It took its name from Sir John Colborne, Lord Seaton,
    1778-1863. He achieved distinction both as a soldier and
    an administrator. He was Lieut.-Governor of Upper Canada.
    Sir John Colborne took a deep interest in education.
    He was the founder of Upper Canada College in Toronto.
    There is a village of Colborne, also named in his honour,
    in Northumberland county, Ontario. His name is commemorated,
    too, in Port Colborne, Welland county,
    Ontario.",English,exact,Armstrong (1930)
1180,FASBX,Colchester,und,Undetermined,,Community,Populated Place,UNP,5b7f632dc6cd11d892e2080020a0f4c9,41.9863888,-82.9347222,Essex,Ontario,1000000,12/10/1974,Ontario-Ministry of Natural Resources and Forestry,253.0,253.0,"Colchester: township in Essex county, Ontario, formed
    in 1792. It took its name from the city of Colchester, in Essex
    county, England. It was a famous fighting ground for
    Romans and Britons, for Saxons and Danes, for Cavaliers
    and Roundheads. The word Colchester is clearly of
    Roman origin, derived from Colne, the name of the river
    on which the city is situated, and castra, a camp. This
    name is also embalmed in Colchester county, Nova Scotia.",English,exact,Armstrong (1930)
1182,FASCX,Coldwater,und,Undetermined,,Urban Community,Populated Place,UNP,3b0deaf0c6ce11d892e2080020a0f4c9,44.709722,-79.641944,Simcoe,Ontario,1000000,1/1/1994,Ontario-Ministry of Natural Resources and Forestry,254.0,254.0,"Coldwater: village in Simcoe county, Ontario. In 1830 the Government established a Post Office here
    for the convenience of the military department engaged
    on the trail from Barrie to Gloucester Bay. At first the
    name was Colewater in honour of Sir John Colborne,
    Governor-General of Canada, 1829-’36. The present name,
    taken from the river which flows through the village
    known to the Indians as Gis-si-nan-se-bing, meaning “cold
    river or water”, soon displaced the former in the minds of
    the settlers. [71]",English,exact,Armstrong (1930)
1193,FASKI,Schomberg,und,Undetermined,,Locality,Populated Place,UNP,52bba00bc6ce11d892e2080020a0f4c9,42.23098,-82.55267,Essex,Ontario,1000000,1/1/1999,Ontario-Ministry of Natural Resources and Forestry,,,,Other European,fuzzy,Armstrong (1930)
1196,JCUYZ,Comox,mis,Uncoded languages,,Town,Populated Place,TOWN,644a2db1d05511d892e2080020a0f4c9,49.672778,-124.927778,Comox Land District,British Columbia,1000000,1/15/1982,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
1204,FASRX,Consecon,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0d029e36849c20c34c767767eeed2c75,43.99561,-77.52212,Prince Edward,Ontario,1000000,3/1/1932,Ontario-Ministry of Natural Resources and Forestry,259.0,259.0,"Consecon: charming lake and picturesque village in
    Prince Edward county, Ontario. The name is Mississauga Indian, meaning “pickerel”,
    a fish abounding in this lake. The word pickerel is a
    diminutive of pike.",Indigenous,exact,Armstrong (1930)
1213,JAXHI,Coquitlam,mis,Uncoded languages,,City,Populated Place,CITY,b2642f1ad05411d892e2080020a0f4c9,49.284167,-122.793611,New Westminster Land District,British Columbia,1000000,5/26/1993,"British Columbia-Tourism, Arts, Culture and Sport",,,,Indigenous,exact,Canadian Geographic Names Database
1222,FATNI,Cartwright,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c360987849c20c33637010b4fb4b62c,42.8186111,-82.4688889,Lambton,Ontario,1000000,5/4/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1237,FAUDG,Creemore,und,Undetermined,,Urban Community,Populated Place,UNP,3b5728f7c6ce11d892e2080020a0f4c9,44.326374,-80.105761,Simcoe,Ontario,1000000,1/1/1994,Ontario-Ministry of Natural Resources and Forestry,269.0,269.0,"Creemore: village in Simcoe county, Ontario. When a cluster of homes began to grow here one of the
    residents asked Senator J. R. Gowan, “Simcoe’s grand old
    man”, to suggest a name. He coined the word from the
    Gaelic cree mohr, meaning “big heart”. It pleased the
    kindly Scottish settlers and was readily accepted. The
    post office was opened in 1854 but the village was founded
    some years before.",Scottish,exact,Armstrong (1930)
1268,FERXC,Dalton,und,Undetermined,,Community,Populated Place,UNP,0d05de16849c20c36686326150816b0a,42.24813,-82.0982,Kent,Ontario,1000000,2/28/1992,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1286,FAWJD,Denbigh,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c379180849c20c328ba42d5e185045f,45.13903,-77.27313,Lennox and Addington,Ontario,1000000,3/2/1948,Ontario-Ministry of Natural Resources and Forestry,291.0,291.0,"Denbigh: township in Addington county, Ontario,
    formed in 1859. It was named after Denbighshire in Wales, which has
    large iron and coal mines. The town of Denbigh was[81] granted to one Hugh Lacy, Earl of Lincoln, by King
    Edward I. He erected a fine castle in the town and surrounded
    it by a wall for defensive purposes.",Welsh,exact,Armstrong (1930)
1296,LDAWW,Dettah,dgr,T???cho?,,Settlement,Populated Place,UNP,0c745bcc849c20c3a19895b92692b38b,62.4112,-114.3084,,Northwest Territories,1000000,9/17/2020,NT - Education Culture Employment,,,,Indigenous,exact,Canadian Geographic Names Database
1298,FDJPA,Devine,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c580e7c849c20c36e50499839742848,48.61855,-93.67207,Rainy River,Ontario,1000000,12/2/1947,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1320,FAZIA,Rochester,und,Undetermined,,Compact Rural Community,Populated Place,UNP,5dda1c47c6cd11d892e2080020a0f4c9,42.98652,-81.05812,Middlesex,Ontario,1000000,5/3/1961,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1334,FAZSG,Dresden,und,Undetermined,,Community,Populated Place,UNP,504b3c10c6ce11d892e2080020a0f4c9,42.59033,-82.18154,Kent,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,309.0,309.0,"Dresden: flourishing town in Kent county, Ontario,
    twelve miles north of Chatham. This town took its name from Dresden, capital city of
    Saxony in Germany. The old Saxon city is a centre of
    art. Hardly any place in the world has such a valuable
    collection of paintings and sculpture. In an old cemetery near the Canadian Dresden stands
    a monument which was erected years ago over the grave
    of Rev. Josiah Henson, the man after whom Harriet
    Beecher Stowe modelled the hero character of her immortal
    “Uncle Tom’s Cabin”.",Other European,exact,Armstrong (1930)
1336,FAZVA,Drumbo,und,Undetermined,,Compact Rural Community,Populated Place,UNP,ff75b970c6cd11d892e2080020a0f4c9,43.23596,-80.5534,Oxford,Ontario,1000000,1/1/1975,Ontario-Ministry of Natural Resources and Forestry,310.0,310.0,"Drumbo: village in Oxford county, Ontario. It took its name from Drumbo, County Down, Ireland.
    The word is Gaelic Celtic, meaning “a hill ridge like a
    beast’s back”.",Irish,exact,Armstrong (1930)
1351,FBAPV,Durham,und,Undetermined,,Community,Populated Place,UNP,5bf58857c6ce11d892e2080020a0f4c9,44.17794,-80.81745,Grey,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,325.0,325.0,"Durham: county in Ontario, was named in 1792 after
    Durham county, England. There is also a town of Durham
    in Bruce county, Ontario. The word is derived from the Saxon words dur, water,
    and holme, meadow, descriptive of the situation of the
    English city.",English,exact,Armstrong (1930)
1353,FBARO,Dutton,und,Undetermined,,Community,Populated Place,UNP,4f665a3bc6ce11d892e2080020a0f4c9,42.66468,-81.50212,Elgin,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,326.0,326.0,"Dutton: enterprising village in Elgin county, Ontario. It came into existence with the Canada Southern Railway
    in 1872, Mr. A. J. Leitch was the first Postmaster
    and established the Dutton Flouring Mills. The village was named after one of the civil engineers
    who surveyed the line for the Canada Southern (now part
    of the Michigan Central Railway System). Information
    received from Colin St. Clair Leitch, K.C., of St. Thomas.",English,exact,Armstrong (1930)
1360,FBAYP,Alton,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,f8551d07d05311d892e2080020a0f4c9,47.71015,-79.82117,Timiskaming,Ontario,1000000,9/7/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1364,FEEUC,Gwillimbury,und,Undetermined,,Town,Populated Place,TOWN,7db41a36c6cd11d892e2080020a0f4c9,44.1391667,-79.4238889,York,Ontario,1000000,1/1/1977,Ontario-Ministry of Natural Resources and Forestry,,,,Welsh,fuzzy,Armstrong (1930)
1404,FEHOW,Elmira,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c618568849c20c3c5a82b54876bdbc6,43.59325,-80.56239,Waterloo,Ontario,1000000,7/6/1950,Ontario-Ministry of Natural Resources and Forestry,347.0,347.0,"Elmira: picturesque village in Wellington county,
    Ontario. The first settlers here were probably U.E. Loyalists
    who brought the name from Elmira, New York State.
    The word means “the beautiful, the wonderful”.",English,exact,Armstrong (1930)
1410,FCICM,Elora,und,Undetermined,,Community,Populated Place,UNP,40dd58bec6ce11d892e2080020a0f4c9,43.685,-80.42712,Wellington,Ontario,1000000,1/1/1999,Ontario-Ministry of Natural Resources and Forestry,350.0,350.0,"Elora: prosperous town on the picturesque Grand in
    Wellington county, Ontario. It was so named by William Gilkison who settled here
    in 1832, having purchased 14,000 acres at the Grand
    River Falls. Elora is derived from Elura, an Hindustan
    word for the entrance to the Indian temple of Paradise.
    Gilkison was entertaining some friends in a river-cave
    near by when an inspiration of the moment suggested the
    name.",Other,exact,Armstrong (1930)
1420,JARSS,Enderby,und,Undetermined,,City,Populated Place,CITY,6575dc88d05511d892e2080020a0f4c9,50.550556,-119.139444,Kamloops Division Yale Land District,British Columbia,1000000,11/3/1932,"British Columbia-Tourism, Arts, Culture and Sport",354.0,354.0,"Enderby: city in Yale district, British Columbia. It took its name from the village of Enderby in Lincolnshire,
    England. In the Doomsday Book it is written
    Enderbie. The word means “the dwelling or village of
    Endred”.",English,exact,Armstrong (1930)
1425,FBCTB,Ennismore,und,Undetermined,,Dispersed Rural Community,Populated Place,UNP,0c3a2942849c20c34aa462a4468d6bfe,44.4094444,-78.4322222,Peterborough,Ontario,1000000,1/17/1952,Ontario-Ministry of Natural Resources and Forestry,357.0,357.0,"Ennismore: township in Peterborough county, Ontario,
    constituted in 1829. It was named in honour of William Hare, Viscount
    Ennismore. His father Richard of Ennismore was M.P.
    for Cork for a period during the first quarter of the nineteenth
    century. The title is taken from Ennismore,
    county of Kerry, Free State, Ireland.",Irish,exact,Armstrong (1930)
1429,FBCUV,Rideau,und,Undetermined,,Community,Populated Place,UNP,506b6e43c6ce11d892e2080020a0f4c9,42.26066,-81.92242,Kent,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,,,,French,fuzzy,Armstrong (1930)
1431,FBCVF,Erin,und,Undetermined,,Community,Populated Place,UNP,4ed9f8aec6ce11d892e2080020a0f4c9,43.7691667,-80.0669445,Wellington,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,360.0,360.0,"Erin: thriving village and township in Wellington
    county, Ontario, erected in 1820. [99] Erin is one of the ancient names of Ireland, generally
    used in modern times in poetry only. The oldest form of
    Ireland’s native name is Erin, genitive Érenn, dative
    rinn. The word is said to be a corruption of Sanscrit,
    Avara meaning “western”. In modern Gaelic Erin was written Eire (two syllables).
    This gave rise to Eireland or Ireland (land of
    Eire or the West).",Irish,exact,Armstrong (1930)
1435,CALJP,Eskasoni,mic,"Mikmaw, Migmaw",,Locality,Populated Place,UNP,fefab7e2af5e11d892e2080020a0f4c9,45.941935,-60.616821,Cape Breton,Nova Scotia,1000000,6/26/2007,Nova Scotia-Department of Internal Services,,,,Indigenous,exact,Canadian Geographic Names Database
1436,JASWS,Esquimalt,mis,Uncoded languages,,District Municipality,Populated Place,MUN1,0cfdcde2849c20c3aea783874d38cbeb,48.429722,-123.414444,Esquimalt Land District,British Columbia,1000000,5/1/1934,"British Columbia-Tourism, Arts, Culture and Sport",367.0,367.0,"Esquimalt: a seaport on the Pacific coast, nine miles
    north of Victoria, the capital city of British Columbia.
    It has an excellent harbour and a government dry dock. The word is of Indian origin, meaning “a place gradually
    shoaling”.",Indigenous,exact,Canadian Geographic Names Database
1437,FBCYI,Essex,und,Undetermined,,Community,Populated Place,UNP,5775f33cc6ce11d892e2080020a0f4c9,42.1730556,-82.8188889,Essex,Ontario,1000000,1/1/1999,Ontario-Ministry of Natural Resources and Forestry,369.0,369.0,"Essex: county in Ontario, surveyed in 1792. It took its name from Essex county in England. The
    word is derived from the Kingdom of the East Saxons,
    a corruption of the last two words. [101]",English,exact,Armstrong (1930)
1446,FBDET,Exeter,und,Undetermined,,Community,Populated Place,UNP,5c0a21c9c6ce11d892e2080020a0f4c9,43.3549,-81.48067,Huron,Ontario,1000000,1/1/2001,Ontario-Ministry of Natural Resources and Forestry,375.0,375.0,"Exeter: town in Huron county, Ontario. It was named after the town of Exeter in Devonshire,
    England. The word is derived from the Celtic exe, meaning
    “water, river”, and ster, “place”, the place on the
    river (Exe).",English,exact,Armstrong (1930)
1466,FBDWH,Freswick,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c3acb10849c20c320e2e0af1c0150b2,43.02477,-79.361,Niagara,Ontario,1000000,12/7/1937,Ontario-Ministry of Natural Resources and Forestry,,,,Scottish,fuzzy,Armstrong (1930)
1467,FBDWO,Ferguson,und,Undetermined,,Community,Populated Place,UNP,3e69e782c6ce11d892e2080020a0f4c9,43.70298,-80.37984,Wellington,Ontario,1000000,1/1/1999,Ontario-Ministry of Natural Resources and Forestry,,,,Scottish,fuzzy,Armstrong (1930)
1476,FBOHQ,Finch,und,Undetermined,,Community,Populated Place,UNP,3f2f5a75c6ce11d892e2080020a0f4c9,45.1438889,-75.0855555,Stormont,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,382.0,382.0,"Finch: prosperous village and township in Stormont
    county, Ontario, erected in 1798. It took its name from the Finch family who were
    related by marriage to Viscount Stormont who was Secretary
    of State for Great Britain about this period.",English,exact,Armstrong (1930)
1484,FBEIG,Flesherton,und,Undetermined,,Community,Populated Place,UNP,4ecfbf7dc6ce11d892e2080020a0f4c9,44.26295,-80.55043,Grey,Ontario,1000000,1/1/1998,Ontario-Ministry of Natural Resources and Forestry,388.0,388.0,"Flesherton: village in Grey county, Ontario. It was founded in 1852 and named after W. K. Flesher,
    one of the first settlers. Flesherton became an incorporated
    village in 1912.",English,exact,Armstrong (1930)
1486,FBEJV,Clinton,und,Undetermined,,Compact Rural Community,Populated Place,UNP,0c3b06ff849c20c34ba3990525c4d8fe,44.69011,-77.21033,Lennox and Addington,Ontario,1000000,1/7/1947,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1492,FBETG,Norwich,und,Undetermined,,Police Village,Populated Place,UNP,0c3b35f7849c20c307ce32303aa72d6f,43.8713888,-81.0308333,Huron,Ontario,1000000,7/6/1950,Ontario-Ministry of Natural Resources and Forestry,,,,English,fuzzy,Armstrong (1930)
1531,CANGM,Gabarus,und,Undetermined,,Community,Populated Place,UNP,73719962af6211d892e2080020a0f4c9,45.837845,-60.146754,Cape Breton,Nova Scotia,1000000,6/26/2007,Nova Scotia-Department of Internal Services,407.0,407.0,"Gabarus: bay, cape, lake, village in Cape Breton
    county, Nova Scotia. It is generally believed to have been named after a
    French officer of Bayonne. It is also said to be a corruption
    of French Cap Rouge, “Red Cape”.",French,exact,Armstrong (1930)
1538,LBKRC,Gameti,dgr,T???cho?,,Community Government,Populated Place,HAM,0c70a9b7849c20c3624c038369d0baf0,64.1129,-117.3525,,Northwest Territories,1000000,8/4/2005,NT - Education Culture Employment,,,,Indigenous,exact,Canadian Geographic Names Database
1539,FBGLX,Gananoque,ono,Onondaga,,Separated Town,Populated Place,TOWN,98f887e5c6be11d892e2080020a0f4c9,44.33212,-76.16116,Leeds,Ontario,1000000,1/1/1997,Ontario-Ministry of Natural Resources and Forestry,411.0,411.0,"Gananoque: town on the St. Lawrence River, at the
    mouth of the Gananoque River in Leeds county, Ontario.
    It was founded in 1798 by Colonel Joel Stone who erected
    a saw mill and carried on a small mercantile business. The name is Indian, and is generally said to signify
    “rocks rising out of the water”. Some writers on Indian
    names state it means “meadows rising out of the water”,
    and others that it means “wild potatoes”, that is “ground
    nuts”. However, in the river Gananoque is what is called
    “marble rock”. It rises above the surface of the water in
    many places in the middle of the river.",Indigenous,exact,Canadian Geographic Names Database
